Data 2
ECF80-PENTODE
Do Not Model
Va	4	200	16
Vs	170	170	0
Vg	0	-4	4
Point	Curve	Ia	Is	Vg	Va	Vs	Vf
1	1	1.52	14.31	0.00	5.97	169.98	6.30
2	1	8.56	9.01	0.00	14.69	168.37	6.30
3	1	12.27	6.26	0.00	26.89	168.32	6.30
4	1	13.69	5.54	0.00	39.05	168.31	6.30
5	1	14.44	5.32	0.00	51.17	168.28	6.30
6	1	15.00	5.20	0.00	63.84	168.30	6.30
7	1	15.41	5.12	0.00	75.98	168.30	6.30
8	1	15.77	5.10	0.00	87.61	168.30	6.30
9	1	16.08	5.07	0.00	100.26	168.30	6.30
10	1	16.36	5.06	0.00	112.39	167.79	6.30
11	1	-1.00	5.06	0.00	112.39	167.79	6.30
12	1	-1.00	5.06	0.00	112.39	167.79	6.30
13	1	-1.00	5.06	0.00	112.39	167.79	6.30
14	1	-1.00	5.06	0.00	112.39	167.79	6.30
15	1	-1.00	5.06	0.00	112.39	167.79	6.30
16	1	-1.00	5.06	0.00	112.39	167.79	6.30
17	1	-1.00	5.06	0.00	112.39	167.79	6.30
1	2	1.53	11.84	-1.00	5.47	169.94	6.30
2	2	7.52	6.40	-1.00	15.18	168.32	6.30
3	2	9.77	4.52	-1.00	26.85	168.29	6.30
4	2	10.45	3.98	-1.00	38.99	168.28	6.30
5	2	10.75	3.77	-1.00	51.10	168.25	6.30
6	2	10.93	3.65	-1.00	63.26	168.27	6.30
7	2	11.05	3.58	-1.00	75.90	168.27	6.30
8	2	11.13	3.54	-1.00	87.53	168.27	6.30
9	2	11.24	3.50	-1.00	100.17	167.77	6.30
10	2	11.35	3.46	-1.00	112.28	168.25	6.30
11	2	11.40	3.41	-1.00	124.44	168.27	6.30
12	2	11.48	3.39	-1.00	136.04	168.25	6.30
13	2	11.53	3.36	-1.00	148.70	168.27	6.30
14	2	-1.00	3.36	-1.00	148.70	168.27	6.30
15	2	-1.00	3.36	-1.00	148.70	168.27	6.30
16	2	-1.00	3.36	-1.00	148.70	168.27	6.30
17	2	-1.00	3.36	-1.00	148.70	168.27	6.30
1	3	1.86	5.14	-2.00	5.45	169.79	6.30
2	3	4.28	2.82	-2.00	14.61	168.26	6.30
3	3	5.03	2.13	-2.00	26.76	168.25	6.30
4	3	5.30	1.89	-2.00	38.90	167.74	6.30
5	3	5.40	1.79	-2.00	51.54	168.24	6.30
6	3	5.49	1.75	-2.00	63.14	168.22	6.30
7	3	5.53	1.71	-2.00	75.80	168.24	6.30
8	3	5.55	1.69	-2.00	87.43	167.73	6.30
9	3	5.63	1.68	-2.00	100.07	168.24	6.30
10	3	5.65	1.66	-2.00	112.68	168.21	6.30
11	3	5.70	1.65	-2.00	124.31	168.21	6.30
12	3	5.67	1.62	-2.00	136.95	168.21	6.30
13	3	5.70	1.61	-2.00	148.57	167.71	6.30
14	3	5.73	1.60	-2.00	160.20	168.21	6.30
15	3	5.76	1.59	-2.00	172.84	168.21	6.30
16	3	5.80	1.59	-2.00	184.46	168.72	6.30
17	3	5.82	1.58	-2.00	197.10	168.72	6.30
1	4	0.79	1.29	-3.00	5.43	169.72	6.30
2	4	1.25	0.77	-3.00	16.56	168.20	6.30
3	4	1.43	0.60	-3.00	27.18	168.20	6.30
4	4	1.51	0.53	-3.00	38.83	168.22	6.30
5	4	1.53	0.51	-3.00	51.44	168.19	6.30
6	4	1.54	0.49	-3.00	63.58	168.19	6.30
7	4	1.55	0.48	-3.00	75.73	168.22	6.30
8	4	1.56	0.48	-3.00	87.33	168.19	6.30
9	4	1.57	0.47	-3.00	99.97	168.19	6.30
10	4	1.57	0.47	-3.00	112.61	168.19	6.30
11	4	1.58	0.46	-3.00	124.74	168.19	6.30
12	4	1.58	0.46	-3.00	136.37	168.19	6.30
13	4	1.58	0.45	-3.00	148.50	167.69	6.30
14	4	1.59	0.45	-3.00	160.63	168.19	6.30
15	4	1.59	0.44	-3.00	172.76	168.19	6.30
16	4	1.61	0.45	-3.00	184.89	168.19	6.30
17	4	1.64	0.45	-3.00	196.52	168.70	6.30
1	5	0.14	0.21	-4.00	5.42	169.70	6.30
2	5	0.20	0.13	-4.00	16.03	168.19	6.30
3	5	0.23	0.10	-4.00	26.65	168.19	6.30
4	5	0.25	0.09	-4.00	38.78	168.19	6.30
5	5	0.25	0.09	-4.00	51.42	168.19	6.30
6	5	0.25	0.08	-4.00	63.55	168.19	6.30
7	5	0.25	0.08	-4.00	75.68	168.19	6.30
8	5	0.25	0.08	-4.00	87.31	168.19	6.30
9	5	0.25	0.08	-4.00	99.95	168.19	6.30
10	5	0.26	0.08	-4.00	112.59	168.19	6.30
11	5	0.26	0.08	-4.00	124.72	168.19	6.30
12	5	0.26	0.08	-4.00	136.34	168.19	6.30
13	5	0.26	0.08	-4.00	148.98	168.19	6.30
14	5	0.26	0.08	-4.00	160.61	168.19	6.30
15	5	0.26	0.08	-4.00	172.74	168.19	6.30
16	5	0.26	0.08	-4.00	184.87	168.19	6.30
17	5	0.27	0.08	-4.00	197.00	168.69	6.30
