Data 2
ECF80-PENTODE
Do Not Model
Va	4	200	16
Vs	170	170	0
Vg	0	-4	4
Point	Curve	Ia	Is	Vg	Va	Vs	Vf
1	1	0.30	18.29	0.00	5.95	170.05	6.30
2	1	3.54	15.61	0.00	14.60	168.49	6.30
3	1	10.72	9.38	0.00	27.37	168.38	6.30
4	1	14.17	6.52	0.00	39.06	168.33	6.30
5	1	15.14	5.83	0.00	51.71	168.31	6.30
6	1	15.64	5.51	0.00	63.35	168.31	6.30
7	1	15.97	5.31	0.00	75.99	168.30	6.30
8	1	16.19	5.18	0.00	87.62	168.30	6.30
9	1	16.45	5.08	0.00	100.26	167.79	6.30
10	1	16.62	5.01	0.00	111.89	167.79	6.30
11	1	-1.00	5.01	0.00	111.89	167.79	6.30
12	1	-1.00	5.01	0.00	111.89	167.79	6.30
13	1	-1.00	5.01	0.00	111.89	167.79	6.30
14	1	-1.00	5.01	0.00	111.89	167.79	6.30
15	1	-1.00	5.01	0.00	111.89	167.79	6.30
16	1	-1.00	5.01	0.00	111.89	167.79	6.30
17	1	-1.00	5.01	0.00	111.89	167.79	6.30
1	2	0.30	13.18	-1.00	5.95	169.96	6.30
2	2	4.08	9.78	-1.00	15.12	168.38	6.30
3	2	8.70	5.70	-1.00	27.33	167.80	6.30
4	2	10.41	4.25	-1.00	38.99	168.28	6.30
5	2	10.88	3.90	-1.00	51.63	168.28	6.30
6	2	11.10	3.74	-1.00	63.27	168.27	6.30
7	2	11.25	3.64	-1.00	75.88	168.25	6.30
8	2	11.34	3.57	-1.00	87.53	167.77	6.30
9	2	11.49	3.52	-1.00	100.17	168.27	6.30
10	2	11.61	3.48	-1.00	112.31	168.27	6.30
11	2	11.67	3.44	-1.00	124.44	168.27	6.30
12	2	11.75	3.40	-1.00	136.07	168.27	6.30
13	2	11.81	3.36	-1.00	148.20	168.27	6.30
14	2	-1.00	3.36	-1.00	148.20	168.27	6.30
15	2	-1.00	3.36	-1.00	148.20	168.27	6.30
16	2	-1.00	3.36	-1.00	148.20	168.27	6.30
17	2	-1.00	3.36	-1.00	148.20	168.27	6.30
1	3	0.49	7.10	-2.00	5.45	169.85	6.30
2	3	3.37	4.33	-2.00	15.10	168.29	6.30
3	3	4.94	2.91	-2.00	26.23	168.24	6.30
4	3	5.60	2.31	-2.00	38.88	168.23	6.30
5	3	5.76	2.15	-2.00	51.54	168.25	6.30
6	3	5.86	2.09	-2.00	63.68	168.25	6.30
7	3	5.90	2.05	-2.00	75.81	168.24	6.30
8	3	5.95	2.02	-2.00	87.44	168.24	6.30
9	3	6.03	2.00	-2.00	100.56	168.22	6.30
10	3	6.06	1.98	-2.00	111.68	167.71	6.30
11	3	6.10	1.96	-2.00	124.32	168.22	6.30
12	3	6.15	1.94	-2.00	135.94	168.22	6.30
13	3	6.18	1.93	-2.00	148.58	168.22	6.30
14	3	6.12	1.89	-2.00	160.71	167.71	6.30
15	3	6.19	1.90	-2.00	172.34	167.71	6.30
16	3	6.26	1.90	-2.00	184.47	168.72	6.30
17	3	6.28	1.89	-2.00	197.11	168.72	6.30
1	4	0.52	2.15	-3.00	5.43	169.74	6.30
2	4	1.30	1.32	-3.00	16.05	168.21	6.30
3	4	1.68	0.96	-3.00	26.68	168.20	6.30
4	4	1.85	0.79	-3.00	38.81	168.20	6.30
5	4	1.90	0.74	-3.00	51.45	168.20	6.30
6	4	1.92	0.72	-3.00	63.58	168.20	6.30
7	4	1.94	0.71	-3.00	75.71	168.20	6.30
8	4	1.95	0.70	-3.00	87.85	168.20	6.30
9	4	1.97	0.69	-3.00	100.48	168.20	6.30
10	4	1.98	0.68	-3.00	112.62	168.20	6.30
11	4	1.99	0.68	-3.00	124.75	168.20	6.30
12	4	2.00	0.67	-3.00	136.37	168.70	6.30
13	4	2.00	0.66	-3.00	149.01	168.20	6.30
14	4	2.00	0.66	-3.00	160.64	168.20	6.30
15	4	2.02	0.66	-3.00	172.77	168.20	6.30
16	4	2.05	0.66	-3.00	184.90	168.20	6.30
17	4	2.07	0.66	-3.00	197.04	168.70	6.30
1	5	0.18	0.42	-4.00	5.92	169.71	6.30
2	5	0.31	0.27	-4.00	16.04	168.19	6.30
3	5	0.38	0.19	-4.00	27.16	168.19	6.30
4	5	0.42	0.16	-4.00	38.79	168.19	6.30
5	5	0.43	0.15	-4.00	51.42	168.19	6.30
6	5	0.43	0.14	-4.00	63.56	168.19	6.30
7	5	0.43	0.14	-4.00	75.69	168.19	6.30
8	5	0.43	0.14	-4.00	87.82	168.19	6.30
9	5	0.44	0.14	-4.00	100.46	168.19	6.30
10	5	0.44	0.14	-4.00	112.59	168.19	6.30
11	5	0.44	0.14	-4.00	124.72	168.19	6.30
12	5	0.45	0.13	-4.00	136.35	167.68	6.30
13	5	0.45	0.13	-4.00	148.98	168.19	6.30
14	5	0.45	0.13	-4.00	160.61	168.19	6.30
15	5	0.45	0.13	-4.00	172.74	168.19	6.30
16	5	0.46	0.13	-4.00	184.87	168.19	6.30
17	5	0.47	0.14	-4.00	197.01	168.69	6.30
