Data 2
ECF80-TRIODE
Do Not Model
Va	4	120	16
Vs	50	50	0
Vg	0	-4	4
Point	Curve	Ia	Is	Vg	Va	Vs	Vf
1	1	0.66	0.00	0.00	5.45	5.94	6.30
2	1	1.37	0.01	0.00	11.53	12.01	6.30
3	1	2.39	0.01	0.00	17.61	17.57	6.30
4	1	3.54	0.00	0.00	23.70	25.15	6.30
5	1	4.83	0.00	0.00	30.30	31.22	6.30
6	1	6.31	0.00	0.00	37.40	38.80	6.30
7	1	8.00	0.01	0.00	45.01	46.38	6.30
8	1	9.67	0.01	0.00	52.12	52.96	6.30
9	1	11.77	0.01	0.00	59.74	60.54	6.30
10	1	14.42	0.01	0.00	66.36	67.61	6.30
11	1	17.36	0.03	0.00	73.99	75.20	6.30
12	1	20.50	0.04	0.00	80.62	81.77	6.30
13	1	-1.00	0.04	0.00	80.62	81.77	6.30
14	1	-1.00	0.04	0.00	80.62	81.77	6.30
15	1	-1.00	0.04	0.00	80.62	81.77	6.30
16	1	-1.00	0.04	0.00	80.62	81.77	6.30
17	1	-1.00	0.04	0.00	80.62	81.77	6.30
1	2	0.01	0.00	-1.00	5.94	5.44	6.30
2	2	0.13	0.00	-1.00	11.51	12.01	6.30
3	2	0.45	0.00	-1.00	17.58	17.57	6.30
4	2	1.08	0.01	-1.00	24.16	24.65	6.30
5	2	1.82	0.00	-1.00	30.24	31.22	6.30
6	2	2.88	0.01	-1.00	37.34	38.80	6.30
7	2	4.18	0.01	-1.00	45.45	46.38	6.30
8	2	5.51	0.01	-1.00	52.55	53.46	6.30
9	2	6.95	0.00	-1.00	59.65	60.54	6.30
10	2	9.77	0.01	-1.00	66.27	67.61	6.30
11	2	12.48	0.01	-1.00	73.91	75.20	6.30
12	2	15.35	0.02	-1.00	80.51	81.75	6.30
13	2	18.92	0.04	-1.00	88.15	89.83	6.30
14	2	-1.00	0.04	-1.00	88.15	89.83	6.30
15	2	-1.00	0.04	-1.00	88.15	89.83	6.30
16	2	-1.00	0.04	-1.00	88.15	89.83	6.30
17	2	-1.00	0.04	-1.00	88.15	89.83	6.30
1	3	0.00	0.01	-2.00	5.44	5.44	6.30
2	3	0.00	0.00	-2.00	12.01	12.01	6.30
3	3	0.01	0.01	-2.00	18.08	17.57	6.30
4	3	0.09	0.01	-2.00	24.65	24.65	6.30
5	3	0.31	0.01	-2.00	30.21	31.72	6.30
6	3	0.76	0.01	-2.00	37.80	38.80	6.30
7	3	1.45	0.00	-2.00	44.89	45.88	6.30
8	3	2.27	0.00	-2.00	52.47	52.93	6.30
9	3	3.21	0.00	-2.00	59.08	60.54	6.30
10	3	4.41	0.00	-2.00	66.68	68.12	6.30
11	3	5.71	0.01	-2.00	73.78	75.20	6.30
12	3	7.06	0.00	-2.00	80.86	81.24	6.30
13	3	12.01	0.01	-2.00	88.05	89.86	6.30
14	3	15.40	0.02	-2.00	95.67	96.91	6.30
15	3	19.02	0.04	-2.00	102.33	103.51	6.30
16	3	-1.00	0.04	-2.00	102.33	103.51	6.30
17	3	-1.00	0.04	-2.00	102.33	103.51	6.30
1	4	0.00	0.00	-3.00	5.94	5.94	6.30
2	4	0.00	0.00	-3.00	11.50	11.50	6.30
3	4	0.00	0.00	-3.00	17.57	17.57	6.30
4	4	0.00	0.01	-3.00	24.65	25.15	6.30
5	4	0.01	0.00	-3.00	30.71	31.72	6.30
6	4	0.07	0.00	-3.00	37.26	38.78	6.30
7	4	0.27	0.01	-3.00	45.38	46.38	6.30
8	4	0.60	0.00	-3.00	52.46	52.96	6.30
9	4	1.10	0.01	-3.00	59.55	60.54	6.30
10	4	1.77	0.00	-3.00	66.64	67.61	6.30
11	4	2.59	0.01	-3.00	73.73	75.20	6.30
12	4	3.51	0.00	-3.00	80.82	81.77	6.30
13	4	4.69	0.00	-3.00	88.40	89.33	6.30
14	4	5.90	0.00	-3.00	95.50	95.90	6.30
15	4	7.15	0.00	-3.00	102.12	103.50	6.30
16	4	14.32	0.02	-3.00	110.31	111.06	6.30
17	4	-1.00	0.02	-3.00	110.31	111.06	6.30
1	5	0.00	0.00	-4.00	5.92	5.42	6.30
2	5	0.00	0.00	-4.00	11.50	12.01	6.30
3	5	0.00	0.00	-4.00	18.08	17.57	6.30
4	5	0.00	0.01	-4.00	24.14	24.65	6.30
5	5	0.00	0.00	-4.00	30.71	31.72	6.30
6	5	0.00	0.00	-4.00	37.26	38.78	6.30
7	5	0.02	0.00	-4.00	45.35	45.86	6.30
8	5	0.08	0.00	-4.00	51.95	52.96	6.30
9	5	0.24	0.00	-4.00	59.00	60.51	6.30
10	5	0.53	0.00	-4.00	66.59	67.59	6.30
11	5	0.96	0.00	-4.00	73.67	75.17	6.30
12	5	1.51	0.00	-4.00	80.76	81.75	6.30
13	5	2.25	0.00	-4.00	87.85	89.83	6.30
14	5	3.09	0.00	-4.00	95.45	96.91	6.30
15	5	4.00	0.00	-4.00	102.04	103.48	6.30
16	5	5.14	0.00	-4.00	110.15	111.57	6.30
17	5	6.29	0.01	-4.00	117.24	117.64	6.30
