Data 2
ECF80-PENTODE
Do Not Model
Va	4	200	16
Vs	170	170	0
Vg	0	-4	4
Point	Curve	Ia	Is	Vg	Va	Vs	Vf
1	1	1.48	24.54	0.00	5.97	170.17	6.30
2	1	9.39	17.45	0.00	14.71	168.02	6.30
3	1	16.94	10.79	0.00	26.97	168.40	6.30
4	1	19.42	8.77	0.00	39.15	168.37	6.30
5	1	20.43	8.09	0.00	51.30	168.35	6.30
6	1	21.02	7.73	0.00	63.44	168.35	6.30
7	1	21.36	7.49	0.00	75.58	168.34	6.30
8	1	21.70	7.32	0.00	87.72	168.34	6.30
9	1	-1.00	7.32	0.00	87.72	168.34	6.30
10	1	-1.00	7.32	0.00	87.72	168.34	6.30
11	1	-1.00	7.32	0.00	87.72	168.34	6.30
12	1	-1.00	7.32	0.00	87.72	168.34	6.30
13	1	-1.00	7.32	0.00	87.72	168.34	6.30
14	1	-1.00	7.32	0.00	87.72	168.34	6.30
15	1	-1.00	7.32	0.00	87.72	168.34	6.30
16	1	-1.00	7.32	0.00	87.72	168.34	6.30
17	1	-1.00	7.32	0.00	87.72	168.34	6.30
1	2	1.32	17.11	-1.00	5.46	169.53	6.30
2	2	9.01	9.97	-1.00	14.70	168.39	6.30
3	2	13.12	6.42	-1.00	26.91	168.32	6.30
4	2	14.12	5.60	-1.00	39.06	168.31	6.30
5	2	14.57	5.30	-1.00	51.70	168.30	6.30
6	2	14.80	5.12	-1.00	63.33	168.30	6.30
7	2	14.98	5.01	-1.00	75.97	168.30	6.30
8	2	15.14	4.95	-1.00	87.60	168.30	6.30
9	2	15.32	4.88	-1.00	100.24	167.79	6.30
10	2	15.48	4.85	-1.00	112.38	168.29	6.30
11	2	-1.00	4.85	-1.00	112.38	168.29	6.30
12	2	-1.00	4.85	-1.00	112.38	168.29	6.30
13	2	-1.00	4.85	-1.00	112.38	168.29	6.30
14	2	-1.00	4.85	-1.00	112.38	168.29	6.30
15	2	-1.00	4.85	-1.00	112.38	168.29	6.30
16	2	-1.00	4.85	-1.00	112.38	168.29	6.30
17	2	-1.00	4.85	-1.00	112.38	168.29	6.30
1	3	1.86	8.30	-2.00	5.98	169.87	6.30
2	3	6.07	4.33	-2.00	14.65	168.29	6.30
3	3	7.31	3.23	-2.00	26.80	168.27	6.30
4	3	7.70	2.91	-2.00	38.94	168.26	6.30
5	3	7.87	2.78	-2.00	51.56	168.23	6.30
6	3	7.97	2.71	-2.00	63.71	168.26	6.30
7	3	8.03	2.68	-2.00	75.85	168.26	6.30
8	3	8.06	2.63	-2.00	87.98	168.26	6.30
9	3	8.18	2.62	-2.00	100.09	168.23	6.30
10	3	8.24	2.60	-2.00	112.25	168.25	6.30
11	3	8.28	2.56	-2.00	124.36	168.23	6.30
12	3	8.32	2.54	-2.00	135.98	168.23	6.30
13	3	8.37	2.52	-2.00	148.62	168.23	6.30
14	3	8.38	2.50	-2.00	160.25	168.23	6.30
15	3	8.41	2.49	-2.00	172.89	168.23	6.30
16	3	8.46	2.48	-2.00	184.51	168.23	6.30
17	3	8.49	2.47	-2.00	196.65	168.23	6.30
1	4	1.31	2.37	-3.00	5.97	169.77	6.30
2	4	2.22	1.41	-3.00	16.09	168.23	6.30
3	4	2.53	1.12	-3.00	26.72	168.23	6.30
4	4	2.65	1.01	-3.00	38.85	168.23	6.30
5	4	2.70	0.97	-3.00	50.98	168.23	6.30
6	4	2.73	0.95	-3.00	63.09	168.20	6.30
7	4	2.75	0.93	-3.00	75.75	168.22	6.30
8	4	2.77	0.92	-3.00	87.38	168.22	6.30
9	4	2.80	0.91	-3.00	100.52	168.22	6.30
10	4	2.81	0.91	-3.00	112.65	168.22	6.30
11	4	2.82	0.90	-3.00	124.76	168.20	6.30
12	4	2.84	0.89	-3.00	136.39	168.20	6.30
13	4	2.84	0.88	-3.00	148.52	168.20	6.30
14	4	2.86	0.88	-3.00	160.65	168.20	6.30
15	4	2.88	0.88	-3.00	172.79	168.20	6.30
16	4	2.90	0.88	-3.00	184.92	168.71	6.30
17	4	2.92	0.88	-3.00	197.05	168.71	6.30
1	5	0.33	0.49	-4.00	5.93	169.71	6.30
2	5	0.47	0.31	-4.00	16.06	168.21	6.30
3	5	0.53	0.24	-4.00	26.68	168.21	6.30
4	5	0.56	0.22	-4.00	38.79	168.19	6.30
5	5	0.57	0.21	-4.00	51.43	168.19	6.30
6	5	0.57	0.21	-4.00	63.56	168.19	6.30
7	5	0.58	0.21	-4.00	75.69	168.19	6.30
8	5	0.58	0.20	-4.00	87.82	168.19	6.30
9	5	0.59	0.20	-4.00	100.46	168.19	6.30
10	5	0.59	0.20	-4.00	112.59	168.19	6.30
11	5	0.59	0.20	-4.00	124.22	168.19	6.30
12	5	0.59	0.20	-4.00	136.35	168.19	6.30
13	5	0.59	0.20	-4.00	148.99	168.19	6.30
14	5	0.59	0.19	-4.00	160.61	167.68	6.30
15	5	0.60	0.19	-4.00	172.74	168.19	6.30
16	5	0.61	0.20	-4.00	184.37	168.19	6.30
17	5	0.62	0.20	-4.00	197.01	169.20	6.30
