Data 2
ECF80-TRIODE
Do Not Model
Va	4	120	30
Vs	50	50	0
Vg	0	-2	4
Point	Curve	Ia	Is	Vg	Va	Vs	Vf
1	1	0.73	0.00	0.00	5.96	6.45	6.30
2	1	1.05	0.00	0.00	9.00	8.98	6.30
3	1	1.55	0.01	0.00	12.54	12.52	6.30
4	1	2.03	0.00	0.00	15.59	15.55	6.30
5	1	2.47	0.01	0.00	18.63	18.08	6.30
6	1	3.06	0.01	0.00	22.15	22.60	6.30
7	1	3.65	0.01	0.00	25.22	26.67	6.30
8	1	4.24	0.01	0.00	28.77	29.70	6.30
9	1	4.99	0.01	0.00	32.83	33.75	6.30
10	1	5.68	0.01	0.00	36.88	37.29	6.30
11	1	6.46	0.00	0.00	40.43	41.33	6.30
12	1	7.27	0.00	0.00	44.47	44.84	6.30
13	1	7.98	0.00	0.00	47.54	48.91	6.30
14	1	8.86	0.01	0.00	51.60	52.96	6.30
15	1	9.79	0.01	0.00	55.15	56.49	6.30
16	1	10.64	0.01	0.00	59.21	60.54	6.30
17	1	11.75	0.01	0.00	63.25	64.05	6.30
18	1	12.98	0.01	0.00	67.32	67.59	6.30
19	1	14.11	0.01	0.00	69.87	71.64	6.30
20	1	15.58	0.01	0.00	74.44	75.68	6.30
21	1	17.12	0.02	0.00	78.54	79.75	6.30
22	1	18.50	0.02	0.00	82.08	83.26	6.30
23	1	-1.00	0.02	0.00	82.08	83.26	6.30
24	1	-1.00	0.02	0.00	82.08	83.26	6.30
25	1	-1.00	0.02	0.00	82.08	83.26	6.30
26	1	-1.00	0.02	0.00	82.08	83.26	6.30
27	1	-1.00	0.02	0.00	82.08	83.26	6.30
28	1	-1.00	0.02	0.00	82.08	83.26	6.30
29	1	-1.00	0.02	0.00	82.08	83.26	6.30
30	1	-1.00	0.02	0.00	82.08	83.26	6.30
31	1	-1.00	0.02	0.00	82.08	83.26	6.30
1	2	0.19	0.00	-0.50	5.95	5.94	6.30
2	2	0.36	0.01	-0.50	8.98	8.98	6.30
3	2	0.65	0.00	-0.50	12.53	12.52	6.30
4	2	1.04	0.01	-0.50	16.07	16.56	6.30
5	2	1.37	0.00	-0.50	18.61	18.58	6.30
6	2	1.88	0.00	-0.50	22.66	22.63	6.30
7	2	2.39	0.00	-0.50	25.70	26.16	6.30
8	2	2.89	0.00	-0.50	28.24	29.20	6.30
9	2	3.56	0.00	-0.50	32.80	33.24	6.30
10	2	4.18	0.00	-0.50	35.34	36.78	6.30
11	2	4.93	0.00	-0.50	40.38	41.31	6.30
12	2	5.67	0.00	-0.50	43.45	44.87	6.30
13	2	6.33	0.00	-0.50	47.49	48.89	6.30
14	2	7.17	0.00	-0.50	51.54	52.43	6.30
15	2	8.00	0.00	-0.50	55.60	56.98	6.30
16	2	9.01	0.01	-0.50	59.16	60.51	6.30
17	2	10.11	0.01	-0.50	63.22	64.05	6.30
18	2	11.30	0.01	-0.50	67.29	68.10	6.30
19	2	12.39	0.01	-0.50	71.35	71.64	6.30
20	2	13.79	0.01	-0.50	74.92	75.68	6.30
21	2	15.22	0.01	-0.50	78.48	79.22	6.30
22	2	16.59	0.02	-0.50	81.54	83.26	6.30
23	2	18.26	0.02	-0.50	86.12	87.31	6.30
24	2	-1.00	0.02	-0.50	86.12	87.31	6.30
25	2	-1.00	0.02	-0.50	86.12	87.31	6.30
26	2	-1.00	0.02	-0.50	86.12	87.31	6.30
27	2	-1.00	0.02	-0.50	86.12	87.31	6.30
28	2	-1.00	0.02	-0.50	86.12	87.31	6.30
29	2	-1.00	0.02	-0.50	86.12	87.31	6.30
30	2	-1.00	0.02	-0.50	86.12	87.31	6.30
31	2	-1.00	0.02	-0.50	86.12	87.31	6.30
1	3	0.01	0.00	-1.00	5.92	5.92	6.30
2	3	0.04	0.01	-1.00	8.98	8.98	6.30
3	3	0.14	0.00	-1.00	12.52	12.52	6.30
4	3	0.30	0.00	-1.00	16.06	15.04	6.30
5	3	0.49	0.00	-1.00	18.57	18.05	6.30
6	3	0.81	0.00	-1.00	22.62	22.60	6.30
7	3	1.14	0.00	-1.00	25.15	25.64	6.30
8	3	1.49	0.00	-1.00	28.72	29.70	6.30
9	3	2.01	0.00	-1.00	32.24	33.22	6.30
10	3	2.57	0.01	-1.00	36.80	37.77	6.30
11	3	3.14	0.00	-1.00	40.35	41.31	6.30
12	3	3.76	0.00	-1.00	43.90	44.84	6.30
13	3	4.39	0.00	-1.00	47.45	48.89	6.30
14	3	5.11	0.01	-1.00	52.01	52.93	6.30
15	3	5.86	0.00	-1.00	55.06	56.47	6.30
16	3	6.52	0.01	-1.00	59.62	60.01	6.30
17	3	7.35	0.00	-1.00	63.17	64.05	6.30
18	3	8.79	0.01	-1.00	66.74	68.60	6.30
19	3	9.85	0.01	-1.00	70.30	71.64	6.30
20	3	11.17	0.01	-1.00	74.36	75.68	6.30
21	3	12.57	0.01	-1.00	78.43	79.72	6.30
22	3	13.88	0.01	-1.00	82.00	83.26	6.30
23	3	15.47	0.02	-1.00	86.07	87.31	6.30
24	3	17.05	0.02	-1.00	89.63	91.35	6.30
25	3	-1.00	0.02	-1.00	89.63	91.35	6.30
26	3	-1.00	0.02	-1.00	89.63	91.35	6.30
27	3	-1.00	0.02	-1.00	89.63	91.35	6.30
28	3	-1.00	0.02	-1.00	89.63	91.35	6.30
29	3	-1.00	0.02	-1.00	89.63	91.35	6.30
30	3	-1.00	0.02	-1.00	89.63	91.35	6.30
31	3	-1.00	0.02	-1.00	89.63	91.35	6.30
1	4	0.00	0.00	-1.50	5.42	5.42	6.30
2	4	0.00	0.01	-1.50	8.47	8.47	6.30
3	4	0.01	0.01	-1.50	12.52	12.52	6.30
4	4	0.05	0.00	-1.50	16.03	15.53	6.30
5	4	0.12	0.00	-1.50	18.56	18.56	6.30
6	4	0.25	0.00	-1.50	22.12	22.63	6.30
7	4	0.42	0.01	-1.50	25.14	26.65	6.30
8	4	0.64	0.01	-1.50	29.19	29.17	6.30
9	4	0.97	0.01	-1.50	32.73	33.72	6.30
10	4	1.37	0.00	-1.50	36.78	37.77	6.30
11	4	1.77	0.00	-1.50	40.33	41.31	6.30
12	4	2.25	0.00	-1.50	43.87	44.84	6.30
13	4	2.76	0.00	-1.50	47.42	48.89	6.30
14	4	3.35	0.00	-1.50	51.48	52.43	6.30
15	4	4.01	0.00	-1.50	56.04	56.98	6.30
16	4	4.58	0.00	-1.50	59.08	60.51	6.30
17	4	5.31	0.01	-1.50	63.14	64.56	6.30
18	4	6.03	0.00	-1.50	67.19	68.10	6.30
19	4	6.67	0.00	-1.50	70.24	71.64	6.30
20	4	7.60	0.00	-1.50	74.81	75.68	6.30
21	4	9.61	0.01	-1.50	78.89	79.72	6.30
22	4	10.90	0.01	-1.50	81.94	83.26	6.30
23	4	12.39	0.01	-1.50	86.01	87.31	6.30
24	4	13.90	0.01	-1.50	90.08	91.35	6.30
25	4	15.48	0.02	-1.50	94.16	94.89	6.30
26	4	17.19	0.02	-1.50	98.23	98.93	6.30
27	4	-1.00	0.02	-1.50	98.23	98.93	6.30
28	4	-1.00	0.02	-1.50	98.23	98.93	6.30
29	4	-1.00	0.02	-1.50	98.23	98.93	6.30
30	4	-1.00	0.02	-1.50	98.23	98.93	6.30
31	4	-1.00	0.02	-1.50	98.23	98.93	6.30
1	5	0.00	0.00	-2.00	5.92	5.92	6.30
2	5	0.00	0.01	-2.00	8.95	8.95	6.30
3	5	0.00	0.01	-2.00	12.49	12.49	6.30
4	5	0.00	0.00	-2.00	16.03	16.03	6.30
5	5	0.02	0.01	-2.00	18.56	19.06	6.30
6	5	0.05	0.00	-2.00	22.10	22.60	6.30
7	5	0.11	0.01	-2.00	25.13	26.14	6.30
8	5	0.21	0.00	-2.00	28.17	29.17	6.30
9	5	0.38	0.00	-2.00	32.21	33.72	6.30
10	5	0.61	0.01	-2.00	36.26	37.26	6.30
11	5	0.89	0.00	-2.00	40.31	41.31	6.30
12	5	1.22	0.00	-2.00	43.86	44.84	6.30
13	5	1.59	0.01	-2.00	47.91	48.89	6.30
14	5	2.03	0.00	-2.00	50.95	52.43	6.30
15	5	2.55	0.01	-2.00	55.51	56.47	6.30
16	5	3.03	0.00	-2.00	59.56	60.51	6.30
17	5	3.61	0.00	-2.00	63.11	64.56	6.30
18	5	4.24	0.00	-2.00	67.16	68.60	6.30
19	5	4.81	0.01	-2.00	71.22	71.64	6.30
20	5	5.52	0.00	-2.00	74.26	75.68	6.30
21	5	6.24	0.00	-2.00	78.32	79.72	6.30
22	5	6.93	0.00	-2.00	82.38	83.26	6.30
23	5	8.10	0.01	-2.00	85.94	87.31	6.30
24	5	10.51	0.01	-2.00	90.02	91.35	6.30
25	5	12.00	0.01	-2.00	93.59	94.38	6.30
26	5	13.70	0.01	-2.00	97.66	99.44	6.30
27	5	15.53	0.02	-2.00	101.74	102.98	6.30
28	5	-1.00	0.02	-2.00	101.74	102.98	6.30
29	5	-1.00	0.02	-2.00	101.74	102.98	6.30
30	5	-1.00	0.02	-2.00	101.74	102.98	6.30
31	5	-1.00	0.02	-2.00	101.74	102.98	6.30
