Data 2
ECF80-TRIODE
Do Not Model
Va	4	120	30
Vs	50	50	0
Vg	0	-2	4
Point	Curve	Ia	Is	Vg	Va	Vs	Vf
1	1	0.02	0.00	0.00	5.92	5.92	6.30
2	1	0.07	0.00	0.00	8.45	8.45	6.30
3	1	0.17	0.00	0.00	11.99	12.49	6.30
4	1	0.36	0.00	0.00	16.04	16.03	6.30
5	1	0.53	0.01	0.00	18.57	18.56	6.30
6	1	0.80	0.00	0.00	22.11	22.60	6.30
7	1	1.09	0.01	0.00	25.15	26.14	6.30
8	1	1.41	0.01	0.00	29.20	29.17	6.30
9	1	1.86	0.01	0.00	32.75	33.72	6.30
10	1	2.36	0.00	0.00	36.29	37.77	6.30
11	1	2.89	0.01	0.00	40.35	41.31	6.30
12	1	3.46	0.01	0.00	43.90	44.84	6.30
13	1	4.01	0.00	0.00	46.94	48.38	6.30
14	1	4.69	0.00	0.00	51.50	52.93	6.30
15	1	5.38	0.00	0.00	55.56	56.47	6.30
16	1	5.98	0.00	0.00	59.11	60.01	6.30
17	1	6.71	0.01	0.00	63.16	64.56	6.30
18	1	7.43	0.01	0.00	66.71	68.60	6.30
19	1	8.09	0.01	0.00	70.26	71.64	6.30
20	1	8.89	0.01	0.00	74.32	75.68	6.30
21	1	9.73	0.00	0.00	78.38	79.72	6.30
22	1	10.44	0.00	0.00	81.93	83.26	6.30
23	1	11.13	0.01	0.00	85.99	87.31	6.30
24	1	11.88	0.01	0.00	90.05	91.35	6.30
25	1	12.65	0.01	0.00	94.10	94.89	6.30
26	1	13.55	0.01	0.00	97.66	98.43	6.30
27	1	14.57	0.01	0.00	102.23	102.98	6.30
28	1	15.54	0.01	0.00	105.28	106.01	6.30
29	1	-1.00	0.01	0.00	105.28	106.01	6.30
30	1	-1.00	0.01	0.00	105.28	106.01	6.30
31	1	-1.00	0.01	0.00	105.28	106.01	6.30
1	2	0.02	0.01	-0.50	5.92	5.92	6.30
2	2	0.05	0.01	-0.50	8.45	8.95	6.30
3	2	0.12	0.01	-0.50	11.99	12.49	6.30
4	2	0.25	0.00	-0.50	16.04	16.03	6.30
5	2	0.37	0.01	-0.50	18.57	18.56	6.30
6	2	0.60	0.00	-0.50	22.11	22.10	6.30
7	2	0.82	0.01	-0.50	25.14	25.64	6.30
8	2	1.09	0.00	-0.50	28.18	29.68	6.30
9	2	1.49	0.01	-0.50	32.74	33.22	6.30
10	2	1.92	0.00	-0.50	36.79	37.26	6.30
11	2	2.36	0.00	-0.50	39.83	40.80	6.30
12	2	2.87	0.01	-0.50	44.39	45.35	6.30
13	2	3.36	0.01	-0.50	47.94	48.89	6.30
14	2	3.97	0.00	-0.50	51.49	52.93	6.30
15	2	4.59	0.00	-0.50	55.54	56.98	6.30
16	2	5.16	0.00	-0.50	59.09	60.01	6.30
17	2	5.83	0.01	-0.50	63.15	64.05	6.30
18	2	6.54	0.00	-0.50	67.20	68.60	6.30
19	2	7.12	0.00	-0.50	70.75	71.64	6.30
20	2	7.88	0.00	-0.50	74.30	75.68	6.30
21	2	8.64	0.01	-0.50	78.36	79.72	6.30
