Data 2
ECF80-PENTODE
Do Not Model
Va	4	200	16
Vs	170	170	0
Vg	0	-4	4
Point	Curve	Ia	Is	Vg	Va	Vs	Vf
1	1	1.44	11.45	0.00	5.51	169.98	6.30
2	1	8.11	7.66	0.00	15.24	168.39	6.30
3	1	11.59	5.43	0.00	26.90	168.33	6.30
4	1	13.11	4.98	0.00	39.08	168.34	6.30
5	1	14.01	4.93	0.00	51.21	168.82	6.30
6	1	14.70	4.92	0.00	63.38	168.34	6.30
7	1	15.24	4.94	0.00	75.52	168.34	6.30
8	1	15.72	4.97	0.00	88.14	168.32	6.30
9	1	16.11	4.99	0.00	100.28	168.32	6.30
10	1	16.42	5.00	0.00	112.42	167.82	6.30
11	1	-1.00	5.00	0.00	112.42	167.82	6.30
12	1	-1.00	5.00	0.00	112.42	167.82	6.30
13	1	-1.00	5.00	0.00	112.42	167.82	6.30
14	1	-1.00	5.00	0.00	112.42	167.82	6.30
15	1	-1.00	5.00	0.00	112.42	167.82	6.30
16	1	-1.00	5.00	0.00	112.42	167.82	6.30
17	1	-1.00	5.00	0.00	112.42	167.82	6.30
1	2	1.57	12.46	-1.00	5.49	169.97	6.30
2	2	7.24	7.31	-1.00	14.69	168.36	6.30
3	2	10.37	4.57	-1.00	26.88	168.31	6.30
4	2	11.09	4.01	-1.00	39.02	168.30	6.30
5	2	11.37	3.81	-1.00	51.67	168.30	6.30
6	2	11.52	3.71	-1.00	63.30	168.30	6.30
7	2	11.65	3.65	-1.00	75.94	168.30	6.30
8	2	11.74	3.60	-1.00	87.56	168.30	6.30
9	2	11.85	3.57	-1.00	99.67	168.27	6.30
10	2	11.96	3.55	-1.00	112.84	168.29	6.30
11	2	12.02	3.51	-1.00	124.47	168.29	6.30
12	2	12.08	3.48	-1.00	136.10	168.29	6.30
13	2	12.15	3.45	-1.00	148.23	168.29	6.30
14	2	-1.00	3.45	-1.00	148.23	168.29	6.30
15	2	-1.00	3.45	-1.00	148.23	168.29	6.30
16	2	-1.00	3.45	-1.00	148.23	168.29	6.30
17	2	-1.00	3.45	-1.00	148.23	168.29	6.30
1	3	1.67	6.36	-2.00	6.00	169.36	6.30
2	3	4.91	3.26	-2.00	14.65	168.29	6.30
3	3	5.98	2.31	-2.00	26.80	168.27	6.30
4	3	6.26	2.05	-2.00	38.94	168.27	6.30
5	3	6.35	1.96	-2.00	51.58	168.27	6.30
6	3	6.44	1.90	-2.00	63.71	168.27	6.30
7	3	6.48	1.88	-2.00	75.84	168.26	6.30
8	3	6.49	1.85	-2.00	87.47	168.26	6.30
9	3	6.56	1.83	-2.00	99.60	168.26	6.30
10	3	6.62	1.82	-2.00	112.75	168.26	6.30
11	3	6.67	1.81	-2.00	124.37	168.26	6.30
12	3	6.70	1.79	-2.00	136.00	168.26	6.30
13	3	6.71	1.78	-2.00	148.13	168.26	6.30
14	3	6.74	1.77	-2.00	160.77	168.26	6.30
15	3	6.77	1.76	-2.00	172.37	168.24	6.30
16	3	6.80	1.75	-2.00	185.03	168.77	6.30
17	3	6.81	1.74	-2.00	196.64	168.24	6.30
1	4	1.12	2.13	-3.00	5.48	169.79	6.30
2	4	2.02	1.19	-3.00	16.11	168.25	6.30
3	4	2.32	0.90	-3.00	26.71	168.22	6.30
4	4	2.42	0.80	-3.00	38.87	168.25	6.30
5	4	2.45	0.77	-3.00	51.48	168.22	6.30
6	4	2.46	0.75	-3.00	63.13	168.24	6.30
7	4	2.48	0.74	-3.00	75.77	168.24	6.30
8	4	2.49	0.73	-3.00	87.40	168.24	6.30
9	4	2.50	0.72	-3.00	100.03	168.24	6.30
10	4	2.52	0.72	-3.00	113.18	168.24	6.30
11	4	2.52	0.71	-3.00	124.80	168.24	6.30
12	4	2.52	0.70	-3.00	136.41	168.22	6.30
13	4	2.53	0.69	-3.00	148.54	168.22	6.30
14	4	2.54	0.69	-3.00	160.67	168.22	6.30
15	4	2.55	0.68	-3.00	172.80	168.22	6.30
16	4	2.57	0.69	-3.00	184.94	168.73	6.30
17	4	2.60	0.69	-3.00	197.07	169.23	6.30
1	5	0.41	0.63	-4.00	5.45	169.74	6.30
2	5	0.61	0.39	-4.00	16.09	168.24	6.30
3	5	0.70	0.30	-4.00	27.19	168.21	6.30
4	5	0.73	0.27	-4.00	38.81	168.21	6.30
5	5	0.74	0.27	-4.00	51.45	168.21	6.30
6	5	0.74	0.26	-4.00	63.58	168.21	6.30
7	5	0.74	0.26	-4.00	75.72	168.21	6.30
8	5	0.75	0.26	-4.00	87.85	168.21	6.30
9	5	0.76	0.25	-4.00	100.49	168.21	6.30
10	5	0.76	0.25	-4.00	112.62	168.21	6.30
11	5	0.76	0.25	-4.00	124.75	168.21	6.30
12	5	0.76	0.25	-4.00	136.38	168.21	6.30
13	5	0.76	0.24	-4.00	148.51	168.21	6.30
14	5	0.76	0.24	-4.00	160.64	168.21	6.30
15	5	0.76	0.24	-4.00	172.77	168.21	6.30
16	5	0.78	0.24	-4.00	184.90	168.72	6.30
17	5	0.79	0.24	-4.00	197.03	169.22	6.30
