Data 2
ECF80-PENTODE
Do Not Model
Va	4	200	16
Vs	170	170	0
Vg	0	-4	4
Point	Curve	Ia	Is	Vg	Va	Vs	Vf
1	1	1.13	24.50	0.00	5.46	169.66	6.30
2	1	7.62	18.59	0.00	14.67	168.54	6.30
3	1	15.64	11.47	0.00	26.95	168.41	6.30
4	1	18.64	8.96	0.00	38.61	168.35	6.30
5	1	19.78	8.14	0.00	51.79	168.35	6.30
6	1	20.38	7.69	0.00	63.43	168.35	6.30
7	1	20.77	7.40	0.00	76.08	168.34	6.30
8	1	21.02	7.18	0.00	87.71	168.34	6.30
9	1	-1.00	7.18	0.00	87.71	168.34	6.30
10	1	-1.00	7.18	0.00	87.71	168.34	6.30
11	1	-1.00	7.18	0.00	87.71	168.34	6.30
12	1	-1.00	7.18	0.00	87.71	168.34	6.30
13	1	-1.00	7.18	0.00	87.71	168.34	6.30
14	1	-1.00	7.18	0.00	87.71	168.34	6.30
15	1	-1.00	7.18	0.00	87.71	168.34	6.30
16	1	-1.00	7.18	0.00	87.71	168.34	6.30
17	1	-1.00	7.18	0.00	87.71	168.34	6.30
1	2	1.08	16.75	-1.00	5.96	170.03	6.30
2	2	8.13	10.18	-1.00	14.68	168.39	6.30
3	2	12.11	6.74	-1.00	26.89	168.33	6.30
4	2	13.50	5.60	-1.00	39.04	168.31	6.30
5	2	14.01	5.18	-1.00	51.69	168.30	6.30
6	2	14.28	5.02	-1.00	63.30	168.27	6.30
7	2	14.43	4.88	-1.00	75.96	168.30	6.30
8	2	14.54	4.79	-1.00	87.59	168.29	6.30
9	2	14.71	4.71	-1.00	100.23	167.79	6.30
10	2	14.84	4.65	-1.00	112.37	168.29	6.30
11	2	14.92	4.60	-1.00	124.50	168.29	6.30
12	2	-1.00	4.60	-1.00	124.50	168.29	6.30
13	2	-1.00	4.60	-1.00	124.50	168.29	6.30
14	2	-1.00	4.60	-1.00	124.50	168.29	6.30
15	2	-1.00	4.60	-1.00	124.50	168.29	6.30
16	2	-1.00	4.60	-1.00	124.50	168.29	6.30
17	2	-1.00	4.60	-1.00	124.50	168.29	6.30
1	3	1.51	8.39	-2.00	5.97	169.88	6.30
2	3	5.53	4.58	-2.00	14.64	168.29	6.30
3	3	6.87	3.43	-2.00	27.30	168.27	6.30
4	3	7.42	2.93	-2.00	38.94	168.26	6.30
5	3	7.62	2.77	-2.00	51.55	168.23	6.30
6	3	7.73	2.70	-2.00	63.20	168.26	6.30
7	3	7.80	2.64	-2.00	75.84	168.26	6.30
8	3	7.84	2.59	-2.00	87.98	168.25	6.30
9	3	7.93	2.57	-2.00	100.09	168.23	6.30
10	3	7.98	2.55	-2.00	111.71	168.23	6.30
11	3	8.04	2.53	-2.00	124.35	168.23	6.30
12	3	8.07	2.51	-2.00	135.98	168.23	6.30
13	3	8.09	2.48	-2.00	148.11	167.72	6.30
14	3	8.11	2.46	-2.00	160.24	168.23	6.30
15	3	8.13	2.44	-2.00	172.37	168.23	6.30
16	3	8.19	2.44	-2.00	184.51	168.23	6.30
17	3	8.21	2.43	-2.00	196.64	168.73	6.30
1	4	1.29	2.45	-3.00	5.97	169.77	6.30
2	4	2.13	1.56	-3.00	15.59	168.24	6.30
3	4	2.49	1.23	-3.00	27.20	168.21	6.30
4	4	2.67	1.06	-3.00	38.85	168.23	6.30
5	4	2.72	1.01	-3.00	51.49	168.23	6.30
6	4	2.74	0.98	-3.00	63.11	168.23	6.30
7	4	2.77	0.96	-3.00	75.73	168.20	6.30
8	4	2.79	0.94	-3.00	87.38	168.22	6.30
9	4	2.83	0.94	-3.00	100.50	168.20	6.30
10	4	2.84	0.93	-3.00	112.63	168.20	6.30
11	4	2.84	0.92	-3.00	124.76	168.20	6.30
12	4	2.85	0.91	-3.00	136.39	168.20	6.30
13	4	2.85	0.90	-3.00	149.03	168.20	6.30
14	4	2.88	0.90	-3.00	160.15	168.20	6.30
15	4	2.87	0.89	-3.00	172.79	168.20	6.30
16	4	2.91	0.89	-3.00	184.92	168.20	6.30
17	4	2.95	0.90	-3.00	197.05	168.71	6.30
1	5	0.38	0.55	-4.00	5.93	169.71	6.30
2	5	0.50	0.39	-4.00	16.04	168.19	6.30
3	5	0.60	0.30	-4.00	26.66	168.19	6.30
4	5	0.64	0.26	-4.00	38.79	168.19	6.30
5	5	0.65	0.25	-4.00	51.43	168.19	6.30
6	5	0.66	0.24	-4.00	63.56	168.19	6.30
7	5	0.66	0.23	-4.00	75.69	168.19	6.30
8	5	0.66	0.23	-4.00	87.32	168.19	6.30
9	5	0.67	0.23	-4.00	100.46	168.19	6.30
10	5	0.67	0.23	-4.00	112.59	168.19	6.30
11	5	0.68	0.22	-4.00	125.23	168.19	6.30
12	5	0.67	0.22	-4.00	136.86	168.19	6.30
13	5	0.68	0.22	-4.00	148.99	168.19	6.30
14	5	0.68	0.22	-4.00	160.61	167.68	6.30
15	5	0.68	0.22	-4.00	172.24	168.19	6.30
16	5	0.69	0.22	-4.00	184.88	168.19	6.30
17	5	0.70	0.22	-4.00	197.01	168.69	6.30
