Data 2
ECF80-TRIODE
Do Not Model
Va	4	120	16
Vs	50	50	0
Vg	0	-2	4
Point	Curve	Ia	Is	Vg	Va	Vs	Vf
1	1	0.75	0.00	0.00	5.43	5.92	6.30
2	1	1.52	0.00	0.00	11.53	11.50	6.30
3	1	2.49	0.01	0.00	17.62	17.57	6.30
4	1	3.66	0.00	0.00	23.70	24.65	6.30
5	1	4.98	0.01	0.00	30.27	31.20	6.30
6	1	6.50	0.01	0.00	37.88	38.78	6.30
7	1	8.18	0.00	0.00	44.99	46.36	6.30
8	1	9.90	0.01	0.00	51.59	52.93	6.30
9	1	12.01	0.01	0.00	59.21	60.01	6.30
10	1	14.82	0.02	0.00	66.34	67.59	6.30
11	1	17.93	0.03	0.00	73.98	74.67	6.30
12	1	21.10	0.04	0.00	81.11	81.75	6.30
13	1	-1.00	0.04	0.00	81.11	81.75	6.30
14	1	-1.00	0.04	0.00	81.11	81.75	6.30
15	1	-1.00	0.04	0.00	81.11	81.75	6.30
16	1	-1.00	0.04	0.00	81.11	81.75	6.30
17	1	-1.00	0.04	0.00	81.11	81.75	6.30
1	2	0.22	0.00	-0.50	5.93	5.42	6.30
2	2	0.67	0.00	-0.50	12.02	12.01	6.30
3	2	1.39	0.01	-0.50	17.60	17.57	6.30
4	2	2.35	0.01	-0.50	23.66	24.62	6.30
5	2	3.48	0.00	-0.50	30.25	31.70	6.30
6	2	4.85	0.01	-0.50	37.35	38.78	6.30
7	2	6.39	0.00	-0.50	44.96	46.36	6.30
8	2	8.20	0.01	-0.50	52.07	53.44	6.30
9	2	10.24	0.01	-0.50	59.18	60.51	6.30
10	2	12.87	0.01	-0.50	66.81	67.59	6.30
11	2	15.88	0.02	-0.50	73.94	74.67	6.30
12	2	18.98	0.03	-0.50	80.57	81.75	6.30
13	2	-1.00	0.03	-0.50	80.57	81.75	6.30
14	2	-1.00	0.03	-0.50	80.57	81.75	6.30
15	2	-1.00	0.03	-0.50	80.57	81.75	6.30
16	2	-1.00	0.03	-0.50	80.57	81.75	6.30
17	2	-1.00	0.03	-0.50	80.57	81.75	6.30
1	3	0.02	0.01	-1.00	5.92	5.92	6.30
2	3	0.13	0.00	-1.00	11.99	11.99	6.30
3	3	0.47	0.00	-1.00	17.58	17.57	6.30
4	3	1.10	0.00	-1.00	24.16	24.65	6.30
5	3	1.89	0.01	-1.00	30.72	31.20	6.30
6	3	2.94	0.01	-1.00	37.31	38.78	6.30
7	3	4.28	0.01	-1.00	44.92	45.86	6.30
8	3	5.61	0.00	-1.00	52.02	53.44	6.30
9	3	7.02	0.01	-1.00	59.12	60.01	6.30
10	3	9.98	0.01	-1.00	66.76	67.59	6.30
11	3	12.80	0.01	-1.00	73.89	75.17	6.30
12	3	15.85	0.02	-1.00	81.02	81.24	6.30
13	3	19.45	0.04	-1.00	88.16	89.83	6.30
14	3	-1.00	0.04	-1.00	88.16	89.83	6.30
15	3	-1.00	0.04	-1.00	88.16	89.83	6.30
16	3	-1.00	0.04	-1.00	88.16	89.83	6.30
17	3	-1.00	0.04	-1.00	88.16	89.83	6.30
1	4	0.00	0.00	-1.50	5.42	5.92	6.30
2	4	0.01	0.00	-1.50	11.99	11.99	6.30
3	4	0.10	0.00	-1.50	18.06	17.55	6.30
4	4	0.41	0.00	-1.50	24.13	24.62	6.30
5	4	0.87	0.00	-1.50	30.20	31.20	6.30
6	4	1.63	0.01	-1.50	37.29	38.78	6.30
7	4	2.61	0.00	-1.50	44.89	45.86	6.30
8	4	3.70	0.01	-1.50	52.49	53.44	6.30
9	4	4.97	0.00	-1.50	59.09	60.51	6.30
10	4	6.39	0.01	-1.50	66.70	67.59	6.30
11	4	9.45	0.01	-1.50	73.83	74.67	6.30
12	4	12.38	0.01	-1.50	80.45	81.75	6.30
13	4	15.89	0.02	-1.50	88.60	89.33	6.30
14	4	19.64	0.04	-1.50	95.24	96.41	6.30
15	4	-1.00	0.04	-1.50	95.24	96.41	6.30
16	4	-1.00	0.04	-1.50	95.24	96.41	6.30
17	4	-1.00	0.04	-1.50	95.24	96.41	6.30
1	5	0.00	0.00	-2.00	5.42	5.92	6.30
2	5	0.00	0.01	-2.00	11.99	11.99	6.30
3	5	0.01	0.01	-2.00	17.55	17.55	6.30
4	5	0.10	0.00	-2.00	24.63	25.13	6.30
5	5	0.33	0.00	-2.00	30.70	31.70	6.30
6	5	0.77	0.00	-2.00	37.28	38.78	6.30
7	5	1.48	0.00	-2.00	44.87	46.36	6.30
8	5	2.31	0.00	-2.00	52.47	52.93	6.30
9	5	3.29	0.00	-2.00	59.56	60.51	6.30
10	5	4.52	0.00	-2.00	66.66	67.59	6.30
11	5	5.77	0.00	-2.00	73.76	75.17	6.30
12	5	7.14	0.00	-2.00	80.86	81.75	6.30
13	5	12.20	0.01	-2.00	88.03	89.33	6.30
14	5	15.74	0.02	-2.00	95.17	96.41	6.30
15	5	19.51	0.04	-2.00	102.32	103.48	6.30
16	5	-1.00	0.04	-2.00	102.32	103.48	6.30
17	5	-1.00	0.04	-2.00	102.32	103.48	6.30
