Data 2
ECF80-PENTODE
Do Not Model
Va	4	200	16
Vs	170	170	0
Vg	0	-4	4
Point	Curve	Ia	Is	Vg	Va	Vs	Vf
1	1	0.40	23.14	0.00	5.95	170.14	6.30
2	1	3.37	21.03	0.00	14.58	168.56	6.30
3	1	9.98	15.28	0.00	26.32	168.46	6.30
4	1	16.00	10.17	0.00	39.09	168.39	6.30
5	1	18.31	8.34	0.00	51.77	168.36	6.30
6	1	19.27	7.88	0.00	63.92	168.35	6.30
7	1	19.86	7.53	0.00	76.06	168.34	6.30
8	1	20.35	7.32	0.00	87.70	168.34	6.30
9	1	-1.00	7.32	0.00	87.70	168.34	6.30
10	1	-1.00	7.32	0.00	87.70	168.34	6.30
11	1	-1.00	7.32	0.00	87.70	168.34	6.30
12	1	-1.00	7.32	0.00	87.70	168.34	6.30
13	1	-1.00	7.32	0.00	87.70	168.34	6.30
14	1	-1.00	7.32	0.00	87.70	168.34	6.30
15	1	-1.00	7.32	0.00	87.70	168.34	6.30
16	1	-1.00	7.32	0.00	87.70	168.34	6.30
17	1	-1.00	7.32	0.00	87.70	168.34	6.30
1	2	0.20	19.88	-1.00	5.95	170.08	6.30
2	2	3.21	17.07	-1.00	14.57	168.49	6.30
3	2	9.71	11.14	-1.00	26.84	168.41	6.30
4	2	13.84	7.54	-1.00	39.05	168.34	6.30
5	2	15.17	6.44	-1.00	51.69	168.30	6.30
6	2	15.67	6.04	-1.00	63.35	168.32	6.30
7	2	15.95	5.80	-1.00	75.97	167.78	6.30
8	2	16.21	5.65	-1.00	87.60	168.29	6.30
9	2	16.45	5.56	-1.00	100.24	168.28	6.30
10	2	16.60	5.46	-1.00	112.37	168.28	6.30
11	2	-1.00	5.46	-1.00	112.37	168.28	6.30
12	2	-1.00	5.46	-1.00	112.37	168.28	6.30
13	2	-1.00	5.46	-1.00	112.37	168.28	6.30
14	2	-1.00	5.46	-1.00	112.37	168.28	6.30
15	2	-1.00	5.46	-1.00	112.37	168.28	6.30
16	2	-1.00	5.46	-1.00	112.37	168.28	6.30
17	2	-1.00	5.46	-1.00	112.37	168.28	6.30
1	3	0.27	11.67	-2.00	5.93	169.91	6.30
2	3	3.44	8.55	-2.00	14.60	168.36	6.30
3	3	6.97	5.29	-2.00	26.77	167.77	6.30
4	3	8.47	4.01	-2.00	38.93	168.26	6.30
5	3	8.99	3.55	-2.00	51.58	168.25	6.30
6	3	9.15	3.39	-2.00	63.21	168.25	6.30
7	3	9.27	3.30	-2.00	75.85	168.24	6.30
8	3	9.34	3.23	-2.00	87.98	168.24	6.30
9	3	9.46	3.19	-2.00	100.11	168.24	6.30
10	3	9.52	3.15	-2.00	112.75	168.24	6.30
11	3	9.57	3.12	-2.00	124.38	167.74	6.30
12	3	9.64	3.09	-2.00	136.01	168.24	6.30
13	3	9.68	3.06	-2.00	148.64	168.24	6.30
14	3	9.71	3.03	-2.00	160.27	168.24	6.30
15	3	9.73	3.01	-2.00	172.91	168.24	6.30
16	3	9.74	2.99	-2.00	184.54	168.24	6.30
17	3	-1.00	2.99	-2.00	184.54	168.24	6.30
1	4	0.32	4.44	-3.00	5.42	169.78	6.30
2	4	1.90	2.78	-3.00	16.07	168.23	6.30
3	4	2.83	1.90	-3.00	27.20	168.22	6.30
4	4	3.27	1.49	-3.00	38.84	168.21	6.30
5	4	3.43	1.34	-3.00	51.48	168.21	6.30
6	4	3.47	1.29	-3.00	63.61	168.21	6.30
7	4	3.51	1.26	-3.00	75.74	168.21	6.30
8	4	3.54	1.24	-3.00	87.37	168.21	6.30
9	4	3.56	1.22	-3.00	100.51	168.21	6.30
10	4	3.57	1.21	-3.00	112.64	168.21	6.30
11	4	3.59	1.19	-3.00	124.78	168.21	6.30
12	4	3.61	1.19	-3.00	136.40	168.21	6.30
13	4	3.61	1.17	-3.00	149.04	168.21	6.30
14	4	3.62	1.16	-3.00	160.16	167.70	6.30
15	4	3.64	1.16	-3.00	172.80	168.21	6.30
16	4	3.68	1.16	-3.00	184.43	168.21	6.30
17	4	3.71	1.16	-3.00	197.06	168.71	6.30
1	5	0.14	0.96	-4.00	5.92	169.72	6.30
2	5	0.47	0.57	-4.00	16.04	168.19	6.30
3	5	0.61	0.44	-4.00	26.68	168.22	6.30
4	5	0.72	0.33	-4.00	38.79	168.19	6.30
5	5	0.74	0.30	-4.00	51.43	168.19	6.30
6	5	0.75	0.29	-4.00	63.56	168.19	6.30
7	5	0.75	0.29	-4.00	75.69	168.19	6.30
8	5	0.76	0.28	-4.00	87.32	168.19	6.30
9	5	0.76	0.28	-4.00	99.96	168.19	6.30
10	5	0.76	0.28	-4.00	112.59	168.19	6.30
11	5	0.77	0.27	-4.00	124.73	168.19	6.30
12	5	0.77	0.27	-4.00	136.35	168.19	6.30
13	5	0.77	0.27	-4.00	148.99	168.19	6.30
14	5	0.76	0.26	-4.00	160.62	167.68	6.30
15	5	0.77	0.27	-4.00	172.75	168.19	6.30
16	5	0.78	0.27	-4.00	184.88	168.19	6.30
17	5	0.79	0.27	-4.00	197.01	168.69	6.30
